src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,is_malicious
17.248.200.67,192.168.0.194,443,51253,1252,3.695487976074219e-05,514.1,0
17.248.200.67,192.168.0.194,443,51253,1500,5.602836608886719e-05,658.9,0
17.248.200.67,192.168.0.194,443,51253,855,3.0994415283203125e-05,739.2,0
192.168.0.194,17.248.200.67,51253,443,52,1.6927719116210938e-05,739.2,0
17.248.200.67,192.168.0.194,443,51251,953,3.504753112792969e-05,828.5,0
192.168.0.194,17.248.200.67,51253,443,52,1.9073486328125e-05,828.5,0
192.168.0.194,17.248.200.67,51253,443,52,7.200241088867188e-05,776.8,0
192.168.0.194,17.248.200.67,51251,443,52,0.0003409385681152344,776.8,0
192.168.0.194,17.248.200.67,51253,443,145,3.0994415283203125e-05,641.3,0
17.248.200.67,192.168.0.194,443,51252,974,0.00020194053649902344,588.7,0
192.168.0.194,17.248.200.67,51252,443,52,2.002716064453125e-05,468.7,0
17.248.200.67,192.168.0.194,443,51253,52,1.5974044799804688e-05,323.9,0
17.248.200.67,192.168.0.194,443,51253,103,1.9073486328125e-05,248.7,0
192.168.0.194,17.248.200.67,51253,443,52,0.00026607513427734375,248.7,0
192.168.0.194,17.248.200.67,51253,443,1171,0.00028705596923828125,270.5,0
192.168.0.194,17.248.200.67,51253,443,1420,6.580352783203125e-05,407.3,0
17.248.200.67,192.168.0.194,443,51253,52,2.5033950805664062e-05,407.3,0
17.248.200.67,192.168.0.194,443,51253,52,0.00016498565673828125,407.3,0
17.248.200.67,192.168.0.194,443,51253,973,0.000286102294921875,490.1,0
192.168.0.194,17.248.200.67,51253,443,52,0.00031304359436035156,397.9,0
192.168.0.194,17.57.144.155,51238,5223,92,4.007520914077759,401.9,1
17.57.144.155,192.168.0.194,5223,51238,76,6.008148193359375e-05,404.3,0
192.168.0.194,17.57.144.155,51238,5223,52,3.886222839355469e-05,399.2,0
192.168.0.194,17.248.200.67,51251,443,83,27.047796964645386,402.3,0
192.168.0.194,17.248.200.67,51252,443,83,6.413459777832031e-05,293.5,0
192.168.0.194,17.248.200.67,51253,443,83,4.00543212890625e-05,159.8,0
192.168.0.194,17.248.200.67,51251,443,52,3.695487976074219e-05,159.8,0
192.168.0.194,17.248.200.67,51252,443,52,3.0994415283203125e-05,159.8,0
192.168.0.194,17.248.200.67,51253,443,52,3.1948089599609375e-05,67.7,0
17.248.200.67,192.168.0.194,443,51251,64,9.703636169433594e-05,68.9,0
192.168.0.194,17.248.200.67,51251,443,83,0.00010204315185546875,68.0,0
17.248.200.67,192.168.0.194,443,51252,64,3.600120544433594e-05,66.8,0
17.248.200.67,192.168.0.194,443,51252,52,0.00016498565673828125,66.8,0
17.248.200.67,192.168.0.194,443,51252,52,4.100799560546875e-05,63.7,0
17.248.200.67,192.168.0.194,443,51251,52,3.2901763916015625e-05,60.6,0
17.248.200.67,192.168.0.194,443,51251,52,0.00025200843811035156,57.5,0
17.248.200.67,192.168.0.194,443,51253,64,0.00023698806762695312,58.7,0
192.168.0.194,17.248.200.67,51252,443,83,4.601478576660156e-05,61.8,0
192.168.0.194,17.248.200.67,51252,443,52,3.314018249511719e-05,61.8,0
192.168.0.194,17.248.200.67,51251,443,52,3.981590270996094e-05,60.6,0
192.168.0.194,17.248.200.67,51253,443,83,0.00019311904907226562,60.6,0
17.248.200.67,192.168.0.194,443,51253,52,4.291534423828125e-05,59.4,0
17.248.200.67,192.168.0.194,443,51253,52,0.00014400482177734375,59.4,0
192.168.0.194,17.248.200.67,51253,443,52,3.409385681152344e-05,59.4,0
17.248.200.67,192.168.0.194,443,51251,64,3.2901763916015625e-05,60.6,0
192.168.0.194,17.248.200.67,51251,443,40,0.0003409385681152344,59.4,0
17.248.200.67,192.168.0.194,443,51253,64,0.0001971721649169922,59.4,0
192.168.0.194,17.248.200.67,51253,443,40,4.100799560546875e-05,55.1,0
17.57.144.155,192.168.0.194,5223,51238,339,83.38493800163269,83.8,1
17.57.144.155,192.168.0.194,5223,51238,78,1.7881393432617188e-05,86.4,0
192.168.0.194,17.57.144.155,51238,5223,52,5.2928924560546875e-05,83.3,0
17.57.144.155,192.168.0.194,5223,51238,78,3.0994415283203125e-05,85.9,0
192.168.0.194,17.57.144.155,51238,5223,64,2.5033950805664062e-05,87.1,0
192.168.0.194,17.57.144.155,51238,5223,84,4.8160552978515625e-05,90.3,0
17.57.144.155,192.168.0.194,5223,51238,52,0.00011587142944335938,89.1,0
192.168.0.194,17.57.144.155,51238,5223,92,5.0210371017456055,94.3,1
17.57.144.155,192.168.0.194,5223,51238,52,9.894371032714844e-05,93.1,0
17.57.144.155,192.168.0.194,5223,51238,76,2.09808349609375e-05,96.7,0
192.168.0.194,17.57.144.155,51238,5223,52,1.3113021850585938e-05,68.0,0
17.57.144.155,192.168.0.194,5223,51238,184,1.0028948783874512,78.6,1
17.57.144.155,192.168.0.194,5223,51238,78,2.6941299438476562e-05,81.2,0
192.168.0.194,17.57.144.155,51238,5223,52,8.0108642578125e-05,78.6,0
192.168.0.194,17.57.144.155,51238,5223,84,2.6941299438476562e-05,80.6,0
17.57.144.155,192.168.0.194,5223,51238,78,2.193450927734375e-05,80.0,0
192.168.0.194,17.57.144.155,51238,5223,64,2.2172927856445312e-05,81.2,0
192.168.0.194,17.248.200.67,51254,443,64,0.00024390220642089844,78.4,0
17.57.144.155,192.168.0.194,5223,51238,52,3.409385681152344e-05,78.4,0
17.248.200.67,192.168.0.194,443,51254,60,0.00013899803161621094,76.8,0
192.168.0.194,17.248.200.67,51254,443,52,3.2901763916015625e-05,76.8,0
192.168.0.194,17.248.200.67,51254,443,569,4.410743713378906e-05,115.3,0
17.248.200.67,192.168.0.194,443,51254,52,0.0002570152282714844,112.7,0
17.248.200.67,192.168.0.194,443,51254,52,2.5033950805664062e-05,112.7,0
17.248.200.67,192.168.0.194,443,51254,1500,0.0003139972686767578,254.3,0
17.248.200.67,192.168.0.194,443,51254,1500,5.5789947509765625e-05,396.5,0
17.248.200.67,192.168.0.194,443,51254,1252,5.602836608886719e-05,515.3,0
17.248.200.67,192.168.0.194,443,51254,1500,0.00021600723266601562,658.9,0
17.248.200.67,192.168.0.194,443,51254,856,0.0006840229034423828,739.3,0
192.168.0.194,17.248.200.67,51254,443,52,5.507469177246094e-05,738.5,0
192.168.0.194,17.248.200.67,51254,443,52,8.606910705566406e-05,738.5,0
192.168.0.194,17.248.200.67,51254,443,52,3.600120544433594e-05,686.8,0
192.168.0.194,17.248.200.67,51254,443,145,2.9802322387695312e-05,696.1,0
17.248.200.67,192.168.0.194,443,51254,103,2.5987625122070312e-05,701.2,0
192.168.0.194,17.248.200.67,51254,443,52,2.5987625122070312e-05,556.4,0
192.168.0.194,17.248.200.67,51254,443,1158,5.602836608886719e-05,522.2,0
192.168.0.194,17.248.200.67,51254,443,1143,0.00010204315185546875,511.3,0
17.248.200.67,192.168.0.194,443,51254,52,2.5987625122070312e-05,366.5,0
17.248.200.67,192.168.0.194,443,51254,52,2.2172927856445312e-05,286.1,0
17.248.200.67,192.168.0.194,443,51254,1500,0.0001068115234375,430.9,0
17.248.200.67,192.168.0.194,443,51254,234,3.814697265625e-05,449.1,0
192.168.0.194,17.248.200.67,51254,443,52,0.00019693374633789062,449.1,0
192.168.0.194,17.248.200.67,51254,443,1169,1.002150058746338,551.5,0
192.168.0.194,17.248.200.67,51254,443,1310,6.103515625e-05,672.2,0
192.168.0.194,17.248.200.67,51255,443,64,2.9802322387695312e-05,673.4,0
192.168.0.194,17.248.200.67,51256,443,64,1.9073486328125e-05,564.0,0
17.248.200.67,192.168.0.194,443,51254,52,1.9073486328125e-05,454.9,0
192.168.0.194,17.248.200.67,51257,443,64,0.00037384033203125,456.1,0
17.248.200.67,192.168.0.194,443,51255,60,0.0002682209014892578,456.9,0
17.248.200.67,192.168.0.194,443,51254,52,2.288818359375e-05,312.1,0
17.248.200.67,192.168.0.194,443,51256,60,1.6927719116210938e-05,294.7,0
17.248.200.67,192.168.0.194,443,51254,953,3.814697265625e-05,384.8,0
192.168.0.194,17.248.200.67,51255,443,52,1.8835067749023438e-05,273.1,0
192.168.0.194,17.248.200.67,51255,443,569,0.0003650188446044922,199.0,0
192.168.0.194,17.248.200.67,51254,443,1310,4.315376281738281e-05,323.6,0
192.168.0.194,17.248.200.67,51254,443,52,0.00012087821960449219,322.4,0
192.168.0.194,17.248.200.67,51256,443,52,2.4080276489257812e-05,322.4,0
192.168.0.194,17.248.200.67,51256,443,569,2.6941299438476562e-05,372.9,0
17.248.200.67,192.168.0.194,443,51257,60,1.811981201171875e-05,372.9,0
192.168.0.194,17.248.200.67,51257,443,52,1.6927719116210938e-05,372.9,0
192.168.0.194,17.248.200.67,51257,443,569,0.0003669261932373047,423.8,0
17.248.200.67,192.168.0.194,443,51255,52,2.002716064453125e-05,333.7,0
17.248.200.67,192.168.0.194,443,51255,1500,0.0002961158752441406,478.5,0
17.248.200.67,192.168.0.194,443,51255,1500,4.1961669921875e-05,571.6,0
17.248.200.67,192.168.0.194,443,51255,1252,3.695487976074219e-05,565.8,0
192.168.0.194,17.248.200.67,51255,443,52,1.7881393432617188e-05,565.8,0
192.168.0.194,17.248.200.67,51255,443,52,0.0003650188446044922,565.8,0
17.248.200.67,192.168.0.194,443,51255,1500,7.510185241699219e-05,658.9,0
17.248.200.67,192.168.0.194,443,51255,856,4.506111145019531e-05,738.5,0
17.248.200.67,192.168.0.194,443,51254,64,2.5987625122070312e-05,739.7,0
17.248.200.67,192.168.0.194,443,51255,52,1.6927719116210938e-05,688.0,0
17.248.200.67,192.168.0.194,443,51256,52,1.5974044799804688e-05,688.0,0
17.248.200.67,192.168.0.194,443,51256,1500,4.100799560546875e-05,688.0,0
17.248.200.67,192.168.0.194,443,51256,1500,0.0003490447998046875,688.0,0
17.248.200.67,192.168.0.194,443,51256,1252,4.38690185546875e-05,688.0,0
17.248.200.67,192.168.0.194,443,51256,1500,0.00019121170043945312,832.8,0
17.248.200.67,192.168.0.194,443,51256,855,3.981590270996094e-05,913.1,0
192.168.0.194,17.248.200.67,51255,443,52,1.811981201171875e-05,768.3,0
192.168.0.194,17.248.200.67,51256,443,52,1.5974044799804688e-05,687.9,0
192.168.0.194,17.248.200.67,51256,443,52,0.00025010108947753906,686.7,0
192.168.0.194,17.248.200.67,51255,443,145,4.982948303222656e-05,696.0,0
192.168.0.194,17.248.200.67,51256,443,145,2.2172927856445312e-05,705.3,0
17.248.200.67,192.168.0.194,443,51257,52,0.00026988983154296875,560.5,0
17.248.200.67,192.168.0.194,443,51257,1500,4.601478576660156e-05,560.5,0
17.248.200.67,192.168.0.194,443,51257,1500,3.886222839355469e-05,585.3,0
17.248.200.67,192.168.0.194,443,51257,1252,3.719329833984375e-05,560.5,0
17.248.200.67,192.168.0.194,443,51257,1500,0.00020503997802734375,625.0,0
17.248.200.67,192.168.0.194,443,51257,854,3.886222839355469e-05,705.2,0
17.248.200.67,192.168.0.194,443,51257,854,0.00013899803161621094,785.4,0
192.168.0.194,17.248.200.67,51257,443,52,2.5033950805664062e-05,785.4,0
192.168.0.194,17.248.200.67,51257,443,52,1.6927719116210938e-05,776.1,0
192.168.0.194,17.248.200.67,51257,443,52,1.71661376953125e-05,766.8,0
192.168.0.194,17.248.200.67,51257,443,64,1.7881393432617188e-05,768.0,0
17.248.200.67,192.168.0.194,443,51256,52,0.00030112266540527344,623.2,0
17.248.200.67,192.168.0.194,443,51256,103,0.0004868507385253906,483.5,0
17.248.200.67,192.168.0.194,443,51255,103,2.002716064453125e-05,368.6,0
192.168.0.194,17.248.200.67,51256,443,52,1.811981201171875e-05,223.8,0
192.168.0.194,17.248.200.67,51255,443,52,2.7894973754882812e-05,143.6,0
192.168.0.194,17.248.200.67,51256,443,1171,5.2928924560546875e-05,175.3,0
192.168.0.194,17.248.200.67,51255,443,1171,0.0001380443572998047,287.2,0
192.168.0.194,17.248.200.67,51257,443,145,2.002716064453125e-05,296.5,0
192.168.0.194,17.248.200.67,51256,443,1420,5.507469177246094e-05,433.3,0
192.168.0.194,17.248.200.67,51255,443,1420,3.886222839355469e-05,568.9,0
17.248.200.67,192.168.0.194,443,51257,103,2.3126602172851562e-05,574.0,0
192.168.0.194,17.248.200.67,51257,443,52,1.7881393432617188e-05,568.9,0
192.168.0.194,17.248.200.67,51257,443,1171,0.0004551410675048828,675.7,0
192.168.0.194,17.248.200.67,51257,443,1420,4.1961669921875e-05,812.5,0
17.248.200.67,192.168.0.194,443,51255,52,2.193450927734375e-05,812.5,0
17.248.200.67,192.168.0.194,443,51256,52,7.295608520507812e-05,700.6,0
17.248.200.67,192.168.0.194,443,51257,52,2.2172927856445312e-05,588.7,0
17.248.200.67,192.168.0.194,443,51257,52,1.6927719116210938e-05,579.4,0
17.248.200.67,192.168.0.194,443,51256,973,3.2901763916015625e-05,534.7,0
192.168.0.194,17.248.200.67,51256,443,52,0.00025200843811035156,397.9,0
17.248.200.67,192.168.0.194,443,51255,974,0.0002541542053222656,485.0,0
192.168.0.194,17.248.200.67,51255,443,52,1.7881393432617188e-05,485.0,0
17.248.200.67,192.168.0.194,443,51257,974,3.1948089599609375e-05,465.3,0
192.168.0.194,17.248.200.67,51257,443,52,0.0002880096435546875,328.5,0
192.168.0.194,17.57.144.155,51238,5223,92,4.065161943435669,332.5,1
17.57.144.155,192.168.0.194,5223,51238,52,2.6226043701171875e-05,332.5,0
17.57.144.155,192.168.0.194,5223,51238,76,2.384185791015625e-05,334.9,0
192.168.0.194,17.57.144.155,51238,5223,52,2.5033950805664062e-05,334.9,0
192.168.0.194,17.248.200.67,51254,443,83,26.315547943115234,245.9,0
192.168.0.194,17.248.200.67,51256,443,83,1.9073486328125e-05,249.0,0
192.168.0.194,17.248.200.67,51254,443,52,2.09808349609375e-05,156.8,0
192.168.0.194,17.248.200.67,51256,443,52,1.4066696166992188e-05,156.8,0
17.248.200.67,192.168.0.194,443,51254,64,1.5020370483398438e-05,65.8,0
17.248.200.67,192.168.0.194,443,51256,64,0.00010395050048828125,67.0,0
192.168.0.194,17.248.200.67,51254,443,83,2.002716064453125e-05,66.1,0
192.168.0.194,17.248.200.67,51256,443,83,1.5020370483398438e-05,69.2,0
17.248.200.67,192.168.0.194,443,51254,52,0.0004699230194091797,66.8,0
17.248.200.67,192.168.0.194,443,51254,52,2.193450927734375e-05,66.8,0
17.248.200.67,192.168.0.194,443,51256,52,0.00023102760314941406,63.7,0
17.248.200.67,192.168.0.194,443,51256,52,1.9073486328125e-05,60.6,0
192.168.0.194,17.248.200.67,51254,443,52,1.5020370483398438e-05,60.6,0
192.168.0.194,17.248.200.67,51256,443,52,1.1920928955078125e-05,60.6,0
17.248.200.67,192.168.0.194,443,51254,64,1.1920928955078125e-05,60.6,0
192.168.0.194,17.248.200.67,51254,443,40,1.5020370483398438e-05,58.2,0
17.248.200.67,192.168.0.194,443,51256,64,0.00030517578125,56.3,0
192.168.0.194,17.248.200.67,51256,443,40,1.6927719116210938e-05,52.0,0
192.168.0.194,17.248.200.67,51255,443,83,1.0024540424346924,55.1,0
192.168.0.194,17.248.200.67,51257,443,83,4.00543212890625e-05,58.2,0
192.168.0.194,17.248.200.67,51255,443,52,1.9788742065429688e-05,58.2,0
192.168.0.194,17.248.200.67,51257,443,52,1.4066696166992188e-05,58.2,0
17.248.200.67,192.168.0.194,443,51255,64,1.5020370483398438e-05,59.4,0
192.168.0.194,17.248.200.67,51255,443,83,1.4066696166992188e-05,62.5,0
17.248.200.67,192.168.0.194,443,51257,64,1.8835067749023438e-05,62.5,0
192.168.0.194,17.248.200.67,51257,443,83,1.4066696166992188e-05,66.8,0
17.248.200.67,192.168.0.194,443,51255,52,1.3113021850585938e-05,65.6,0
17.248.200.67,192.168.0.194,443,51255,52,0.00017499923706054688,66.8,0
