src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,is_malicious
17.188.23.25,10.193.107.99,443,57515,1290,7.987022399902344e-05,1042.4,49851,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00017595291137695312,1042.4,51089,0
17.188.23.25,10.193.107.99,443,57515,1290,7.104873657226562e-05,1042.4,52327,0
17.188.23.25,10.193.107.99,443,57515,1290,6.890296936035156e-05,1042.4,53565,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1042.4,54803,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00014209747314453125,1166.2,56041,0
17.188.23.25,10.193.107.99,443,57515,1290,7.295608520507812e-05,1290.0,57279,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,1290.0,58517,0
17.188.23.25,10.193.107.99,443,57515,1290,6.985664367675781e-05,1290.0,59755,0
17.188.23.25,10.193.107.99,443,57515,1290,6.818771362304688e-05,1290.0,60993,0
17.188.23.25,10.193.107.99,443,57515,1290,6.794929504394531e-05,1290.0,62231,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0002319812774658203,1290.0,63469,0
17.188.23.25,10.193.107.99,443,57515,1290,7.891654968261719e-05,1290.0,64707,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00012993812561035156,1290.0,65945,0
17.188.23.25,10.193.107.99,443,57515,1290,7.200241088867188e-05,1290.0,67183,0
17.188.23.25,10.193.107.99,443,57515,1290,0.00039505958557128906,1290.0,68421,0
17.188.23.25,10.193.107.99,443,57515,1290,7.510185241699219e-05,1290.0,69659,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0001480579376220703,1290.0,70897,0
17.188.23.25,10.193.107.99,443,57515,1290,7.081031799316406e-05,1290.0,72135,0
10.193.107.99,17.188.23.25,57515,443,52,3.314018249511719e-05,1166.2,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.790855407714844e-05,1042.4,2754,0
10.193.107.99,17.188.23.25,57515,443,52,3.1948089599609375e-05,918.6,2754,0
10.193.107.99,17.188.23.25,57515,443,52,0.00012111663818359375,794.8,2754,0
17.188.23.25,10.193.107.99,443,57515,1290,0.000431060791015625,794.8,73373,0
17.188.23.25,10.193.107.99,443,57515,1290,8.082389831542969e-05,794.8,74611,0
17.188.23.25,10.193.107.99,443,57515,1290,7.200241088867188e-05,794.8,75849,0
17.188.23.25,10.193.107.99,443,57515,1290,7.605552673339844e-05,794.8,77087,0
17.188.23.25,10.193.107.99,443,57515,1290,7.200241088867188e-05,794.8,78325,0
17.188.23.25,10.193.107.99,443,57515,1290,6.699562072753906e-05,794.8,79563,0
17.188.23.25,10.193.107.99,443,57515,1290,6.794929504394531e-05,918.6,80801,0
17.188.23.25,10.193.107.99,443,57515,1290,0.0002410411834716797,1042.4,82039,0
