src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,header_len,is_malicious
17.248.201.74,10.193.107.99,443,57839,390,5.412101745605469e-05,547.9,4097,52,0
10.193.107.99,17.248.201.74,57839,443,52,3.695487976074219e-05,547.1,518,52,0
10.193.107.99,17.248.201.74,57839,443,52,9.393692016601562e-05,547.1,518,52,0
10.193.107.99,17.248.201.74,57839,443,145,0.0003800392150878906,504.7,518,52,0
17.248.201.74,10.193.107.99,443,57839,103,8.988380432128906e-05,509.8,4435,52,0
10.193.107.99,17.248.201.74,57839,443,52,0.00013017654418945312,386.0,611,52,0
10.193.107.99,17.248.201.74,57839,443,1173,8.082389831542969e-05,498.1,611,52,0
10.193.107.99,17.248.201.74,57839,443,1290,7.104873657226562e-05,498.1,1732,52,0
10.193.107.99,17.248.201.74,57839,443,862,0.00037407875061035156,455.3,2970,52,0
10.193.107.99,17.248.201.74,57839,443,720,6.389617919921875e-05,483.9,3780,52,0
17.248.201.74,10.193.107.99,443,57839,52,4.696846008300781e-05,450.1,4486,52,0
10.193.107.99,17.248.201.74,57839,443,720,1.0022971630096436,516.9,3780,52,0
17.248.201.74,10.193.107.99,443,57839,64,9.393692016601562e-05,518.1,4486,64,0
17.248.201.74,10.193.107.99,443,57839,948,7.390975952148438e-05,598.4,4486,52,0
10.193.107.99,17.248.201.74,57839,443,52,3.600120544433594e-05,593.3,4448,52,0
10.193.107.99,17.248.201.74,57839,443,83,30.052881002426147,596.4,4448,52,0
10.193.107.99,17.248.201.74,57839,443,52,4.506111145019531e-05,484.3,4479,52,0
17.248.201.74,10.193.107.99,443,57839,52,3.2901763916015625e-05,360.5,5382,52,0
17.248.201.74,10.193.107.99,443,57839,52,3.314018249511719e-05,279.5,5382,52,0
10.193.107.99,17.248.201.74,57839,443,52,3.2901763916015625e-05,212.7,4480,52,0
17.57.144.38,10.193.107.99,5223,57373,339,26.053189992904663,241.4,906,52,1
17.57.144.38,10.193.107.99,5223,57373,78,3.695487976074219e-05,177.2,1193,52,0
10.193.107.99,17.57.144.38,57373,5223,52,1.811981201171875e-05,176.0,2658,52,0
10.193.107.99,17.57.144.38,57373,5223,84,1.5974044799804688e-05,89.6,2658,52,0
17.57.144.38,10.193.107.99,5223,57373,78,1.3113021850585938e-05,92.2,1193,52,0
10.193.107.99,17.57.144.38,57373,5223,64,1.3828277587890625e-05,90.3,2690,64,0
17.57.144.38,10.193.107.99,5223,57373,52,6.318092346191406e-05,90.3,1219,52,0
10.193.107.99,17.248.201.65,57840,443,64,6.890296936035156e-05,91.5,0,64,0
